Name,Address,Price,Cuisine,Neighborhood
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET
KASAMA,"1001 N WINCHESTER AVE CHICAGO, ILLINOIS 60622",$$,FILIPINO,UKRAINIAN VILLAGE
SCHWA,"1466 N ASHLAND AVE CHICAGO, IL 60622",$$$$,EXPERIMENTAL,WICKER PARK
KYOTEN NEXT DOOR,"2513 W ARMITAGE AVE CHICAGO, IL 60647",$$$$,JAPANESE,LOGAN SQUARE
XOCOME ANTOJERIA,"5200 SOUTH ARCHER AVENUE CHICAGO, IL 60632",$$,MEXICAN,ARCHER HEIGHTS
ALINEA,"1723 N HALSTED ST CHICAGO, IL 60614",$$$$,EXPERIMENTAL,LINCOLN PARK
MONTEVERDE,"1020 W MADISON ST CHICAGO, IL 60607",$$$,ITALIAN,WEST LOOP
MARISCOS SAN PEDRO,"1227 W 18TH ST CHICAGO, ILLINOIS 60608",$$,MEXICAN,PILSEN
GALIT,"2429 N LINCOLN AVE CHICAGO, ILLINOIS 60614",$$$,MIDDLE EASTERN,LINCOLN PARK
J.P. GRAZIANO GROCERY & SUB SHOP,"901 W RANDOLPH ST CHICAGO, IL 60607",$,AMERICAN,WEST LOOP
AKAHOSHI RAMEN,"2340 N CALIFORNIA AVE CHICAGO, ILLINOIS 60647",$$,JAPANESE,LOGAN SQUARE
OBELIX,"700 N SEDGWICK ST CHICAGO, IL 60654",$$$,FRENCH,RIVER NORTH
THE MOMO WORLD,"727 W MAXWELL ST CHICAGO, IL 60607",$$,NEPALI,UNIVERSITY VILLAGE
MAXWELLS TRADING,"1516 W CARROLL AVE CHICAGO, ILLINOIS 60607",$$,AMERICAN,WEST LOOP
BAVETTE'S,"218 W. KINZIE ST. CHICAGO, IL 60654",$$$,AMERICAN,RIVER NORTH
VALHALLA,"2020 W DIVISION ST CHICAGO, ILLINOIS 60622",$$$$,AMERICAN,WICKER PARK
JM SEAFOOD,"3312 S HALSTED ST CHICAGO, ILLINOIS 60608",$$,CHINESE,BRIDGEPORT
BIRRIERIA ZARAGOZA,"4852 S PULASKI RD CHICAGO, IL 60632",$,MEXICAN,ARCHER HEIGHTS
DAISY'S PO' BOY AND TAVERN,"5215 S HARPER AVE CHICAGO, IL 60615",$$,SOUTHERN,HYDE PARK
ANELYA,"3472 N ELSTON AVE CHICAGO, ILLINOIS 60618",$$,UKRAINIAN,AVONDALE
AVEC,"615 W RANDOLPH ST CHICAGO, IL 60661",$$$,AMERICAN,WEST LOOP
ELSKE,"1350 W RANDOLPH ST CHICAGO, IL 60607",$$$$,SCANDINAVIAN,WEST LOOP
MILLY'S PIZZA IN THE PAN,"1005 W ARGYLE ST CHICAGO, ILLINOIS 60647",$$,PIZZA,UPTOWN
ALEGRIAS SEAFOOD CHICAGO,"1024 N. ASHLAND AVE. CHICAGO, IL 60622",$$$,MEXICAN,WICKER PARK
CARIÑO,"4662 N BROADWAY ST CHICAGO, ILLINOIS 60640",$$$$,MEXICAN,UPTOWN
